Norway;Civil Aviation Authority of Norway;NCAA
Oman;Directorate General of Civil Aviation and Meteorology;DGCAM
Pakistan;Pakistan Civil Aviation Authority;PCAA
Panama;Civil Aviation Authority of Panama;AAC
Papua New Guinea;Civil Aviation Authority of Papua New Guinea;CASA
Paraguay;National Directorate of Civil Aviation of Paraguay;NDCA
Peru;Directorate General of Civil Aviation of Peru;DINAC
Philippines;Civil Aviation Authority of the Philippines;CAAP
Poland;Civil Aviation Office;CAO
Portugal;National Institute of Civil Aviation of Portugal;INAC
Qatar;Civil Aviation Authority of Qatar;QCAA
Romania;Romanian Civil Aeronautical Authority;RCAA
Russia;Federal Air Transport Agency;FATA
Rwanda;Rwanda Civil Aviation Authority;RCAA
Samoa;Pacific Aviation Safety Office;PASO
San Marino;San Marino Civil Aviation and Maritime Authority;CAAMNA
Saudi Arabia;General Authority of Civil Aviation;GACA
Senegal;National Civil Aviation Agency of Senegal;ANACS
Serbia;Civil Aviation Directorate of Serbia;CAD
Seychelles;Seychelles Civil Aviation Authority;SCAA
Singapore;Civil Aviation Authority of Singapore;CAAS
Slovakia;Civil Aviation Authority of the Slovak Republic;CAA
Slovenia;Civil Aviation Directorate of Slovenia;CAA
Solomon Islands;Pacific Aviation Safety Office;PASO
Somalia;Somali Civil Aviation and Meteorology Authority;SCAMA
South Africa;South African Civil Aviation Authority;SACAA
Spain;Spanish Aviation Safety and Security Agency;AESA
Sri Lanka;Civil Aviation Authority of Sri Lanka;CAAS
Sudan;Civil Aviation Authority of Sudan;CAASUD
Suriname;Civil Aviation Department of Suriname;CADSUR
Sweden;Swedish Transport Agency;STA
Switzerland;Federal Office for Civil Aviation;FOCA
Syria;Syrian Civil Aviation Authority;SCAA
Taiwan;Civil Aeronautics Administration;CAA
Tanzania;Tanzania Civil Aviation Authority;TCAA
Thailand;The Civil Aviation Authority of Thailand;CAAT
Timor-Leste;Civil Aviation Division of Timor-Leste;CADT
Togo;Civil Aviation Agency of Togo;ANAC
Tonga;Pacific Aviation Safety Office;PASO
Trinidad and Tobago;Trinidad and Tobago Civil Aviation Authority;TTCAA
Tunisia;Office of Civil Aviation and Airports;OACA
Turkey;Directorate General of Civil Aviation of Turkey;DGCA
Turks and Caicos Islands;Turks and Caicos Islands Civil Aviation Authority;TCICAA
Tuvalu;Pacific Aviation Safety Office;PASO
Uganda;Civil Aviation Authority of Uganda;UCAA
Ukraine;State Aviation Administration of Ukraine;SAAU
United Arab Emirates;General Civil Aviation Authority;GCAA
Vanuatu;Pacific Aviation Safety Office;PASO
Venezuela;National Institute of Civil Aviation;INAC
Vietnam;Civil Aviation Administration of Vietnam;CAAV
Yemen;Civil Aviation and Meteorological Authority of Yemen;CAMA
Zambia;Department of Civil Aviation;DCA
Zimbabwe;Civil Aviation Authority of Zimbabwe;CAAZ
